,ws_users_activated,ws_users_deactivated,ws_users_invited,action_create_project,action_export_report,action_api_and_webhooks,action_time_entries_via_tracker,action_start_trial,action_import_csv,action_create_invoice,action_lock_entries,action_add_targets,action_connect_quickbooks,action_create_expense,action_project_budget,action_screenshots,country,value_days_to_purchase,value_number_of_active_months,value_transactions_number,value_regular_seats,value_kiosk_seats,revenue,churned_status
498,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0.0,Maine,184,11,4,1,0,51.948,No
499,4,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0.0,California,112,4,11,5,0,531.635,No
502,1,0,0,15,9,0,5,1,0,20,0,0,0,10,7,0.0,Arizona,248,11,2,1,0,25.974,No
503,4,0,0,74,42,0,58,0,0,12,0,0,0,0,0,0.0,Arizona,11,1,12,4,0,419.692,No
505,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,Canada,0,11,10,1,0,129.87,No
506,1,0,0,4,0,0,0,0,0,2,0,0,0,11,0,0.0,Netherlands,5,7,7,1,0,90.909,Yes
507,3,0,0,1,1,0,0,0,0,0,3,0,0,0,0,1.0,Egypt,4,4,4,3,0,155.844,Yes
508,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0.0,New York,63,9,10,2,0,259.74,Yes
510,1,5,0,8,19,0,0,0,0,0,0,0,0,0,0,0.0,Australia,79,3,10,1,0,673.036,Yes
511,1,0,0,42,0,0,0,0,0,0,0,0,0,6,0,0.0,Ireland,0,11,10,1,0,129.87,No
513,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0.0,Ireland,273,11,11,1,0,95.602,No
514,3,3,1,62,0,1,0,0,0,0,3,0,0,0,0,0.0,Florida,0,0,13,6,0,659.802,No
516,4,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0.0,France,24,1,13,9,0,1122.394,No
518,2,2,0,54,9,0,0,1,0,23,0,1,0,4,0,1.0,Malaysia,199,9,7,2,0,177.736,No
521,1,0,0,95,55,1,0,1,2,2,2,0,0,1,58,2.0,Italy,29,6,6,1,0,623.376,Yes
525,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0.0,California,74,3,7,1,0,49.79,Yes
526,2,4,0,4,6,0,0,0,0,0,0,0,0,0,0,1.0,Idaho,0,11,10,3,0,1428.57,No
529,7,0,0,53,21,1,37,0,0,0,0,1,0,0,79,1.0,United Kingdom,49,10,11,7,0,908.726,No
532,12,1,0,5,26,0,0,0,1,7,5,2,1,0,13,0.0,Brazil,156,5,12,12,0,526.942,No
533,1,0,0,3,0,0,0,0,0,6,0,0,0,0,1,1.0,Washington,156,10,5,1,0,64.935,No
535,3,0,0,57,113,0,35,0,0,5,0,0,0,0,0,1.0,Maryland,192,10,4,3,0,155.844,No
536,1,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0.0,Australia,4,0,7,1,0,77.922,Yes
537,1,0,0,4,8,0,0,0,0,0,0,0,0,0,1,1.0,Florida,173,10,5,1,0,64.935,No
538,8,1,0,47,21,0,20,1,0,15,10,2,0,0,4,2.0,California,211,6,13,9,0,1073.852,No
540,1,1,0,9,0,0,0,0,0,0,0,0,0,0,1,2.0,India,0,3,4,1,0,103.896,Yes
541,2,0,0,7,0,0,0,0,0,0,0,0,0,0,19,0.0,New York,0,0,9,2,0,207.779,Yes
542,1,0,0,1,0,0,0,1,0,6,0,0,0,2,0,0.0,Florida,16,0,4,1,0,35.854,Yes
543,1,0,0,1,9,0,0,0,0,4,0,0,0,0,0,0.0,United Kingdom,0,3,4,1,0,51.948,Yes
552,1,1,0,2,25,0,0,0,0,2,0,0,0,1,5,1.0,Liechtenstein,26,6,6,1,0,155.844,Yes
553,8,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0.0,California,5,0,7,8,0,518.609,Yes
554,1,0,0,44,0,0,0,0,0,27,0,0,0,0,0,0.0,Pennsylvania,0,9,10,1,0,129.87,No
555,6,0,0,21,77,0,0,0,4,4,0,0,0,0,13,1.0,Germany,217,10,5,6,0,302.757,No
557,1,0,0,56,1,0,0,0,0,0,2,0,0,1,3,1.0,Canada,20,3,4,1,0,51.948,Yes
558,4,2,0,3,60,1,0,0,0,0,0,0,0,0,2,0.0,Argentina,243,8,14,3,0,260.546,No
559,1,0,0,7,78,0,0,0,0,4,0,0,0,0,0,0.0,Colorado,12,2,7,1,0,79.378,Yes
560,1,0,0,2,1,0,0,0,0,0,0,0,0,0,4,0.0,Minnesota,86,10,9,1,0,71.383,Yes
562,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0.0,Australia,70,3,9,1,0,99.931,No
563,7,0,1,46,0,0,0,0,0,1,0,0,0,0,0,1.0,New Jersey,31,10,11,11,0,1428.531,No
564,1,0,0,9,10,0,0,0,0,7,0,0,0,0,0,0.0,Mexico,21,1,3,1,0,25.974,Yes
565,10,0,0,12,62,0,0,0,0,0,0,0,0,0,22,0.0,Australia,4,0,16,10,0,949.416,No
566,7,0,0,115,8,1,4,0,4,0,3,0,0,0,76,2.0,Netherlands,126,10,12,7,0,818.974,No
568,5,0,0,65,2,0,0,0,1,0,0,0,1,0,2,0.0,Ohio,11,0,7,5,0,319.137,Yes
570,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1.0,California,0,6,7,2,0,181.818,Yes
571,1,0,0,8,4,1,0,0,0,5,0,0,0,0,6,2.0,Maryland,132,4,13,2,0,90.467,Yes
572,1,0,0,0,0,0,0,1,0,44,0,0,0,50,0,0.0,California,52,11,8,1,0,103.896,No
573,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.0,United Kingdom,1,8,9,1,0,116.883,Yes
574,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.0,United Kingdom,0,3,7,1,0,75.309,Yes
575,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1.0,Netherlands,0,4,5,2,0,129.87,Yes
576,1,0,0,22,0,0,0,0,0,14,0,0,0,28,0,0.0,California,51,2,4,1,0,37.934,Yes
577,3,1,1,5,13,0,0,0,0,0,0,0,0,0,0,1.0,France,70,2,4,4,0,90.415,Yes
579,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,India,100,4,2,7,0,181.818,Yes
580,2,0,0,17,3,0,0,0,0,12,0,0,0,17,2,1.0,Australia,243,8,10,1,1,78.507,Yes
582,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1.0,Armenia,31,10,11,3,0,388.973,No
583,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0.0,Illinois,37,10,9,6,0,701.298,No
584,4,3,0,69,4,0,0,1,0,0,0,0,0,0,0,1.0,Oregon,14,8,9,4,0,467.532,No
585,3,1,0,5,18,0,0,0,0,0,2,2,0,0,14,0.0,Florida,48,1,5,3,0,149.916,Yes
586,4,0,0,3,15,0,0,0,0,0,0,0,0,0,0,1.0,California,7,0,6,4,0,193.297,Yes
587,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,Canada,158,10,5,1,0,64.935,No
589,1,0,0,12,0,1,0,0,0,0,0,0,1,0,0,1.0,Canada,174,6,1,1,0,12.987,Yes
590,4,2,0,1,35,0,0,0,0,43,0,0,0,6,0,0.0,Dominican Republic,215,10,12,4,0,434.46,No
592,2,1,0,1,24,0,0,0,0,10,2,0,0,0,0,0.0,Delaware,153,10,13,3,0,310.869,No
593,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,Oklahoma,0,10,10,1,0,129.87,No
595,3,5,0,7,7,0,0,0,0,0,0,0,1,0,0,1.0,Colorado,11,0,8,3,0,535.041,Yes
596,1,3,0,19,25,0,0,0,0,0,0,0,0,0,11,0.0,Denmark,0,0,9,1,0,192.257,Yes
599,1,0,0,2,0,0,0,0,0,51,0,0,0,0,0,0.0,Arizona,26,8,9,1,0,189.54,Yes
601,3,0,1,8,0,0,0,0,0,0,0,0,0,0,0,1.0,Nevada,0,3,4,4,0,207.792,Yes
602,5,0,0,8,0,0,0,0,0,0,6,1,0,0,0,1.0,California,6,0,7,6,0,462.683,Yes
603,1,0,0,5,2,0,0,1,0,0,0,0,0,8,0,0.0,California,8,2,3,1,0,38.961,Yes
605,2,4,0,5,0,0,0,1,0,0,0,1,0,0,0,2.0,Nevada,3,4,5,6,0,389.61,Yes
606,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0.0,Egypt,7,5,6,1,0,77.922,Yes
607,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,New Jersey,1,5,6,2,0,155.844,Yes
608,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Serbia,0,8,9,1,0,116.883,Yes
609,1,0,0,9,0,0,0,0,0,0,0,0,0,0,2,1.0,Belgium,14,7,7,1,0,90.909,Yes
610,1,0,0,16,0,0,0,0,0,11,0,0,0,0,1,2.0,China,0,7,8,1,0,103.896,Yes
611,1,0,0,3,0,0,0,0,0,1,0,0,0,7,1,1.0,South Africa,0,0,5,1,0,88.205,Yes
613,1,0,0,4,3,0,0,0,0,5,0,0,0,0,0,0.0,Georgia,14,1,6,1,0,62.491,Yes
614,5,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0.0,Alabama,105,5,3,5,0,194.805,Yes
615,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1.0,Belgium,7,3,4,2,0,103.896,Yes
617,1,0,0,8,1,0,0,0,0,14,0,0,0,7,0,1.0,Florida,2,10,10,1,0,129.87,No
618,9,0,0,6,17,1,0,0,0,0,0,0,0,0,0,0.0,Florida,202,7,4,9,0,345.956,No
620,5,1,0,2,44,0,0,0,0,0,0,0,0,0,0,0.0,Arizona,43,1,12,9,0,1014.676,No
621,1,0,0,26,0,0,0,0,0,0,0,0,0,1,0,0.0,Florida,20,6,6,1,0,77.922,Yes
623,2,0,0,11,65,0,0,1,0,38,0,0,0,0,5,0.0,Italy,279,9,9,2,0,304.395,Yes
624,2,0,0,3,10,0,0,0,0,2,0,0,1,0,0,1.0,Michigan,0,0,12,2,0,189.527,Yes
626,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0.0,California,0,5,6,1,0,77.922,Yes
627,8,1,0,29,4,0,0,0,0,0,0,0,0,0,2,0.0,Australia,31,7,9,11,0,1139.671,Yes
628,14,3,0,7,8,0,19,0,0,0,0,0,0,9,75,2.0,Australia,199,10,12,16,0,1793.857,No
629,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1.0,United Kingdom,81,4,2,1,0,25.974,Yes
631,4,0,0,11,19,0,7,0,0,0,0,0,0,0,0,1.0,Germany,14,10,9,5,0,584.415,No
632,2,3,0,66,6,1,0,1,0,3,0,2,0,0,65,0.0,California,18,10,9,2,0,467.532,No
634,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0.0,Nepal,9,0,10,1,0,116.87,No
637,5,2,0,124,14,0,0,0,0,0,0,0,0,0,0,0.0,Canada,20,10,9,6,0,701.298,No
639,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0.0,Australia,0,6,10,2,0,236.34,Yes
641,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,Poland,0,1,12,2,0,221.13,No
643,1,0,0,2,7,0,0,0,0,32,0,0,0,0,0,0.0,France,196,7,8,1,0,79.209,Yes
644,1,0,0,9,0,0,10,0,0,0,0,0,0,0,0,0.0,France,18,10,9,1,0,116.883,No
646,1,0,0,1,0,0,0,0,0,29,0,0,0,0,0,0.0,South Africa,1,10,10,1,0,129.87,No
647,1,1,0,1,2,0,0,0,0,0,0,0,0,2,0,0.0,France,105,4,2,1,0,25.974,Yes
648,3,0,0,17,73,0,0,0,0,2,0,0,0,0,2,1.0,Alabama,183,10,9,3,0,257.179,No
649,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1.0,United Kingdom,0,6,7,1,0,90.909,Yes
650,6,1,0,6,0,0,0,0,0,0,0,0,0,0,1,1.0,Florida,38,6,5,6,0,389.61,Yes
651,2,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1.0,Finland,2,0,4,2,0,77.116,Yes
652,2,0,0,49,47,0,0,0,0,0,0,0,0,42,0,0.0,California,1,10,9,2,0,233.766,No
655,3,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0.0,New Mexico,73,10,7,3,0,272.727,No
658,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1.0,Sweden,31,9,9,1,0,64.883,Yes
659,3,0,0,4,9,0,0,0,0,0,2,0,0,0,0,1.0,South Africa,32,5,8,3,0,544.258,Yes
662,1,0,0,5,0,0,0,1,0,10,0,0,0,8,0,0.0,Ireland,11,10,9,1,0,116.883,No
663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Serbia,92,10,8,1,0,116.883,No
664,4,1,0,9,107,0,0,0,0,0,0,0,0,0,0,0.0,Mississippi,70,10,7,4,0,363.636,No
665,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Brazil,86,5,3,1,0,38.961,Yes
666,6,0,0,21,12,0,3,0,0,0,0,0,0,0,2,0.0,Australia,137,5,7,6,0,458.9,No
667,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,Germany,4,1,13,4,0,459.225,No
669,1,0,0,9,6,0,0,1,0,12,0,0,0,57,8,0.0,California,94,10,6,1,0,77.922,No
670,1,0,0,3,118,0,0,0,0,10,0,0,0,0,0,0.0,California,1,0,10,1,0,116.883,No
671,2,0,0,9,7,0,0,0,0,27,0,1,0,3,15,1.0,Texas,31,5,9,1,1,115.492,Yes
673,3,0,0,31,86,0,0,0,0,2,4,0,0,0,13,0.0,South Africa,0,10,9,3,0,350.649,No
674,1,0,0,28,0,0,0,0,0,49,10,0,0,2,30,0.0,South Korea,9,10,9,1,0,116.883,No
675,1,0,0,31,0,0,0,0,0,27,0,0,0,6,1,0.0,California,25,1,10,1,0,114.14,No
677,3,1,0,10,0,0,0,0,0,0,1,0,0,0,0,0.0,Georgia,213,8,10,3,0,392.405,Yes
679,1,0,0,17,0,0,0,0,0,1,3,0,0,0,2,1.0,Australia,226,7,2,1,0,19.474,Yes
680,2,0,0,5,0,2,0,0,0,0,0,0,0,0,12,2.0,France,1,1,2,2,0,51.948,Yes
681,4,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0.0,Virginia,43,1,3,5,0,111.709,Yes
683,7,0,0,2,0,0,0,0,0,0,10,2,0,0,0,2.0,California,56,9,9,7,0,718.432,No
686,5,2,0,125,5,0,0,0,0,0,0,0,0,0,0,0.0,California,27,0,11,5,0,588.211,No
687,1,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0.0,New York,4,9,9,5,0,584.415,No
689,3,0,0,7,0,0,0,0,0,0,0,1,0,0,1,1.0,New Jersey,0,5,6,3,0,233.766,Yes
690,16,0,0,16,3,1,0,0,0,0,0,0,0,0,0,0.0,California,139,9,14,16,0,616.226,Yes
693,1,0,0,12,1,0,0,0,0,26,0,0,1,4,2,1.0,Mississippi,0,4,5,1,0,64.935,Yes
694,3,0,0,11,4,1,7,1,0,1,0,0,0,0,21,1.0,Australia,255,9,6,3,0,116.389,No
695,1,0,0,2,3,0,0,0,0,6,0,0,0,0,0,0.0,California,39,4,4,1,0,51.948,Yes
696,10,3,0,5,30,1,27,0,0,0,0,2,0,0,5,0.0,Austria,93,9,10,9,1,1048.58,No
700,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0.0,Georgia,42,9,8,1,0,103.896,No
701,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Massachusetts,50,1,1,1,0,12.987,Yes
702,2,0,0,60,0,0,34,0,0,0,1,0,0,0,0,1.0,Pakistan,3,9,9,4,0,467.532,No
704,1,0,0,11,69,0,0,0,0,4,0,0,0,0,22,0.0,Canada,46,1,7,1,0,65.884,Yes
705,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0,Pennsylvania,0,0,2,1,0,38.961,Yes
706,3,0,0,9,0,0,0,0,0,0,7,0,0,0,0,1.0,Georgia,1,2,3,3,0,116.883,Yes
708,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0.0,Florida,245,9,10,2,0,139.152,No
709,1,0,0,13,42,0,0,1,0,7,0,0,0,0,0,2.0,Malta,10,9,9,1,0,116.883,No
710,3,0,0,21,23,0,43,0,0,0,0,0,0,0,2,0.0,Germany,233,9,1,3,0,38.961,No
712,5,0,0,6,0,0,0,1,0,0,4,0,0,0,0,2.0,Arizona,36,3,3,5,0,194.805,Yes
714,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,Alabama,0,2,3,2,0,77.922,Yes
716,4,0,0,2,13,0,0,0,0,3,0,0,1,0,0,1.0,Canada,99,6,6,4,0,322.92,Yes
718,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0.0,Spain,62,9,7,1,0,90.909,No
719,5,2,0,5,0,0,0,0,0,0,0,0,0,0,0,1.0,Florida,160,5,7,5,0,265.694,No
720,1,0,0,4,1,1,0,0,0,9,0,0,0,0,0,0.0,Germany,188,9,3,1,0,38.961,No
723,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Namibia,0,3,4,1,0,51.948,Yes
724,2,0,0,33,1,0,0,0,0,32,0,0,0,0,24,0.0,Canada,216,7,2,2,0,197.262,Yes
725,1,0,0,17,0,0,0,0,0,0,0,2,0,0,0,0.0,California,1,0,5,1,0,51.831,Yes
727,1,0,0,3,9,0,80,0,0,0,0,0,0,15,0,0.0,Colorado,208,9,2,1,0,25.974,No
730,4,5,0,57,27,0,0,0,0,0,0,0,0,0,18,0.0,France,31,5,7,9,0,701.298,Yes
731,4,1,0,32,4,0,0,0,0,0,0,0,0,0,0,0.0,France,214,9,12,4,0,614.302,No
732,1,0,0,22,40,0,0,0,0,4,0,0,0,0,0,1.0,Israel,4,9,9,1,0,116.883,No
735,0,0,0,8,21,1,0,0,0,18,1,0,0,4,6,1.0,Egypt,122,4,11,1,0,400.634,Yes
736,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,California,31,1,10,12,0,879.047,Yes
737,1,0,0,1,2,1,0,0,0,14,0,0,0,4,0,0.0,New Jersey,84,3,4,1,0,36.309,Yes
738,1,0,0,2,0,0,0,1,2,2,2,0,0,0,6,2.0,Arkansas,138,4,1,1,0,12.987,Yes
739,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.0,Ohio,2,9,9,1,0,116.883,No
741,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0.0,France,43,3,8,1,0,71.396,Yes
742,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1.0,Brazil,18,0,2,2,0,38.961,Yes
747,2,0,0,15,2,1,0,0,0,1,0,0,0,3,12,1.0,New Zealand,0,8,10,2,0,110.37,No
748,1,0,0,31,5,0,0,0,0,0,0,0,0,0,0,1.0,Ukraine,0,1,2,1,0,25.974,Yes
750,1,0,0,5,0,0,0,0,0,26,0,0,0,0,0,0.0,Lithuania,91,3,3,1,0,40.248,Yes
751,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,Tennessee,0,2,3,1,0,38.961,Yes
752,11,1,0,30,17,0,28,0,0,0,0,0,0,28,41,0.0,Belgium,258,8,8,11,0,908.778,No
753,5,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0.0,United Kingdom,160,5,3,6,0,75.764,Yes
754,7,0,1,8,0,0,0,0,1,2,0,0,0,0,4,1.0,California,212,9,11,8,0,458.302,No
758,0,0,0,0,2,0,0,0,1,3,0,0,0,2,0,0.0,Indiana,1,0,3,1,0,25.831,Yes
760,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1.0,Texas,81,3,1,1,0,12.987,Yes
763,1,0,0,82,19,0,0,0,0,0,0,0,0,0,11,1.0,Netherlands,46,9,7,1,0,90.909,No
764,2,0,0,26,0,0,0,0,0,0,0,0,0,0,0,1.0,Alabama,243,9,9,2,0,312.637,No
765,1,0,0,12,1,0,50,0,0,0,0,0,0,0,0,1.0,United Kingdom,1,9,9,1,0,116.883,No
766,2,0,0,1,0,0,0,0,0,0,8,0,0,0,0,2.0,Mexico,0,2,3,2,0,77.922,Yes
768,1,0,0,20,0,0,0,1,0,0,0,0,0,0,1,0.0,Belgium,250,8,1,1,0,12.987,No
770,15,5,0,139,21,0,1,0,0,0,0,0,0,0,0,0.0,Germany,59,9,10,15,0,1357.486,No
771,1,0,0,36,17,0,0,0,0,0,0,0,0,0,4,0.0,United Kingdom,77,10,6,1,0,77.922,No
772,1,0,0,3,0,0,0,0,0,7,0,0,0,0,0,1.0,Poland,0,9,9,1,0,116.883,No
773,1,0,0,9,41,0,0,0,0,0,0,0,0,4,2,1.0,Arizona,28,7,7,1,0,90.909,Yes
774,1,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0.0,United Kingdom,14,9,8,1,0,103.896,No
775,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0,India,20,9,8,2,0,207.792,No
776,21,0,0,24,17,1,0,0,0,0,0,0,0,0,1,1.0,India,0,0,6,21,0,707.642,Yes
777,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.0,Georgia,93,9,10,3,0,323.804,No
778,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0.0,Austria,69,3,2,2,1,57.122,Yes
780,1,0,0,2,0,0,0,0,0,0,0,0,0,0,6,2.0,South Africa,22,1,1,1,0,12.987,Yes
781,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,Colombia,0,3,4,2,0,103.896,Yes
782,2,1,0,2,37,0,11,0,0,4,0,0,0,0,0,1.0,Arizona,143,5,9,2,0,151.957,No
784,1,0,0,4,0,0,0,0,0,4,0,0,0,0,0,1.0,Mississippi,141,9,4,1,0,51.948,No
785,1,0,0,24,1,0,0,0,0,0,0,0,0,0,18,1.0,Norway,151,5,5,1,0,43.966,Yes
786,1,0,0,5,14,0,0,1,0,0,0,0,0,39,0,2.0,United Kingdom,32,1,9,1,0,104.598,No
788,4,2,0,7,0,0,0,0,0,0,0,0,0,0,0,1.0,Florida,45,9,11,4,0,443.547,No
790,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2.0,Connecticut,9,2,3,2,0,77.922,Yes
791,3,0,0,8,0,0,0,0,0,0,2,1,0,0,0,0.0,Michigan,3,3,4,4,0,155.844,Yes
792,5,0,0,0,18,0,0,0,0,0,0,0,0,0,0,1.0,Iceland,279,9,10,5,0,230.516,No
793,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1.0,Texas,0,0,3,3,0,77.909,Yes
794,1,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0.0,Australia,205,7,2,1,0,19.474,Yes
795,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,India,33,2,2,1,0,25.974,Yes
796,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,1.0,Austria,197,8,2,1,0,25.974,No
799,1,0,0,24,0,0,0,1,0,0,0,0,0,0,0,2.0,Washington,21,9,8,1,0,103.896,No
800,3,0,0,13,0,0,0,0,0,0,4,1,0,0,0,0.0,Florida,28,4,4,3,0,155.844,Yes
801,8,0,0,4,19,0,0,0,0,0,0,0,0,0,0,0.0,Arizona,212,9,13,8,0,833.95,No
803,2,0,0,18,2,0,0,1,0,0,0,0,0,0,0,0.0,California,38,1,4,2,0,64.766,Yes
804,3,0,0,6,1,0,0,0,0,0,0,0,0,0,0,1.0,Austria,0,9,9,3,0,350.649,No
805,7,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1.0,Poland,31,5,7,7,0,545.454,Yes
807,7,1,0,37,0,0,0,0,0,0,0,1,0,0,0,0.0,Arizona,1,0,6,7,0,454.545,Yes
808,6,0,0,0,21,0,0,1,0,0,0,0,0,0,0,0.0,Arizona,9,9,8,6,0,623.376,No
809,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,Vermont,7,4,5,1,0,64.935,Yes
810,3,0,0,9,0,2,1,0,0,12,0,0,0,0,0,0.0,Egypt,204,7,4,3,0,77.909,No
811,4,0,0,1,8,0,0,0,0,2,0,0,0,0,0,0.0,Italy,38,1,3,4,0,100.555,Yes
813,5,2,0,24,0,0,0,0,0,0,0,0,1,0,0,1.0,Colorado,0,0,9,6,0,617.539,No
814,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,Wisconsin,0,9,8,1,0,103.896,No
815,2,0,0,5,0,0,0,1,0,0,0,0,0,0,0,2.0,India,231,9,1,2,0,25.974,No
816,3,0,0,9,87,0,0,0,0,2,0,1,0,0,0,1.0,Georgia,7,9,8,3,0,333.463,No
817,1,0,0,3,0,0,0,0,0,7,0,0,0,7,0,0.0,North Carolina,33,6,8,1,0,90.298,Yes
820,10,0,0,60,10,0,49,0,0,0,0,0,0,0,0,0.0,California,122,5,15,11,0,710.372,No
823,7,2,0,30,0,0,0,0,0,0,3,0,0,0,0,1.0,California,209,9,7,7,0,230.789,No
824,1,0,0,19,0,0,0,0,0,30,0,0,0,38,41,0.0,California,5,9,8,1,0,103.896,No
825,2,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1.0,Georgia,0,0,2,2,0,25.974,Yes
827,3,0,0,12,1,0,0,0,0,5,0,0,0,0,7,0.0,Canada,0,2,4,3,0,214.006,Yes
828,3,0,1,23,0,0,0,0,0,4,0,1,0,4,1,0.0,District of Columbia,0,1,2,4,0,103.896,Yes
829,2,0,0,18,1,0,7,0,0,0,0,0,0,0,0,1.0,California,38,5,4,2,0,103.896,Yes
831,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Nigeria,17,2,2,7,0,181.818,Yes
832,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0.0,Australia,0,1,2,1,0,25.974,Yes
833,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,Florida,0,9,8,1,0,103.896,No
834,6,0,0,2,5,0,0,0,0,0,0,1,0,0,2,1.0,Egypt,15,2,2,6,0,155.844,Yes
835,1,0,0,23,3,0,0,0,0,0,0,2,0,0,1,2.0,Jordan,31,1,3,7,0,158.769,Yes
836,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,Illinois,0,9,8,1,0,103.896,No
837,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.0,Florida,44,2,4,9,0,199.732,Yes
838,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,Vietnam,0,0,1,1,0,12.987,Yes
839,4,0,0,17,30,2,0,0,0,1,0,0,0,0,5,1.0,Spain,149,9,3,4,0,155.844,No
841,2,0,0,12,44,1,29,0,0,16,0,0,0,0,5,0.0,Illinois,252,9,2,2,0,96.72,No
843,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Arizona,0,0,1,1,0,12.987,Yes
844,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,Iraq,63,3,2,1,0,25.974,Yes
845,2,0,0,94,38,0,58,0,0,0,0,0,0,0,12,0.0,Florida,17,7,7,1,0,89.232,No
846,6,0,0,8,2,0,0,0,0,0,5,0,0,0,4,1.0,Colombia,9,1,11,6,0,602.03,No
847,1,0,0,14,0,0,0,0,0,13,0,0,0,25,0,0.0,Canada,58,9,8,1,0,90.649,No
848,1,0,0,4,8,0,0,0,0,6,0,0,0,0,0,0.0,California,149,6,2,1,0,25.974,Yes
849,6,0,0,28,22,1,0,1,0,0,0,0,0,0,64,0.0,Australia,223,8,12,6,0,470.106,No
850,2,0,0,31,20,0,37,0,0,0,0,0,0,0,30,0.0,Australia,181,9,10,2,0,133.393,No
851,1,0,0,17,8,0,0,0,0,0,0,0,0,0,2,0.0,United Kingdom,0,4,5,1,0,64.935,Yes
852,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1.0,Russia,12,8,4,1,0,51.948,No
